"Property Address","Mailing City","Mailing State","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"697-697 COVE ROAD ",STAMFORD,CT,41.048614,-73.51258,1,rooftop,"697-697 Cove Rd",,"Stamford, CT 06902",697-697,"Cove Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usnj2vkuspefctvetkj94h2zmtuy4,parcel_centroid
"0-0 COVE ROAD",STAMFORD,CT,41.049506,-73.520148,1,street_center,"Cove Rd",,"Stamford, CT 06902",,"Cove Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"TIGER/Line® dataset from the US Census Bureau",gcod_ussj2vkuspefctve,
"34-34 CRESCENT STREET ",STAMFORD,CT,41.070565,-73.518644,0.99,rooftop,"34 Crescent St",,"Stamford, CT 06906",34,"Crescent St",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnjfp8jlrx8z9j6vvnty8mr32qh9,building_centroid
"43-43 CRESCENT STREET ",STAMFORD,CT,41.069756,-73.518304,0.99,rooftop,"43 Crescent St",,"Stamford, CT 06906",43,"Crescent St",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnjfp8jlrx8z9j67uespzsms6lw3,building_centroid
"30-30 GLENBROOK ROAD ",STAMFORD,CT,41.056483,-73.530063,0.99,rooftop,"30 Glenbrook Rd",,"Stamford, CT 06902",30,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lve647y98gmk8fx6,building_centroid
"48-48 DORA STREET",STAMFORD,CT,41.050642,-73.508333,1,rooftop,"48-48 Dora St",,"Stamford, CT 06902",48-48,"Dora St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usnp6mlbbxmxfp63lnd2g8mgg76k7,building_centroid
"71-73 DORA STREET",STAMFORD,CT,41.051468,-73.507566,0.99,rooftop,"71 Dora St",,"Stamford, CT 06902",71,"Dora St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnp6mlbbxmxfp63cqlblsfgd5735,building_centroid
"422-422 COURTLAND AVENUE",STAMFORD,CT,41.072003,-73.517908,1,rooftop,"422-422 Courtland Ave",,"Stamford, CT 06906",422-422,"Courtland Ave",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"Connecticut Geospatial Information Systems Council",gcod_usnzzfbegep32a49qhed3q29qnrdg,building_centroid
"12-12 DRYDEN STREET",STAMFORD,CT,41.049299,-73.556655,1,rooftop,"12-12 Dryden St",,"Stamford, CT 06902",12-12,"Dryden St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usnux6sbm6nm4qwbj97rag92gxngc,building_centroid
"7-7 FOURTH STREET",STAMFORD,CT,41.064361,-73.544921,0.85,rooftop,"7 4th St",,"Stamford, CT 06905",7,"4th St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usn5fgynzqgmxlf2ty9r7gtln49s3,building_centroid
"55-55 WOODLAND PLACE",STAMFORD,CT,41.041224,-73.536054,0.99,rooftop,"55 Woodland Pl",,"Stamford, CT 06902",55,"Woodland Pl",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnfgcfd39rykhu6redygkjxv4cmc,building_centroid
"20-20 NORTH STREET",STAMFORD,CT,41.05951,-73.546206,1,rooftop,"20-20 North St",,"Stamford, CT 06902",20-20,"North St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usnbsvcnnmtgsabggu36caa4y3y24,building_centroid
"58-58 LIBERTY STREET",STAMFORD,CT,41.050043,-73.554323,0.99,rooftop,"58 Liberty St",,"Stamford, CT 06902",58,"Liberty St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnvsrtqmrdp5mkcea2tc4saxpa36,building_centroid
"11-11 FINNEY LANE",STAMFORD,CT,41.050708,-73.552635,1,rooftop,"11-11 Finney Ln",,"Stamford, CT 06902",11-11,"Finney Ln",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usn84r7h2yluead673ta9xha7t7hf,building_centroid
"36-36 FINNEY LANE",STAMFORD,CT,41.051615,-73.553104,0.99,rooftop,"36 Finney Ln",,"Stamford, CT 06902",36,"Finney Ln",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn84r7h2yluead6qkzgagu69mct7,building_centroid
"151-151 GREENWICH AVENUE",STAMFORD,CT,41.044886,-73.548322,1,rooftop,"151 Greenwich Ave",,"Stamford, CT 06902",151,"Greenwich Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnyd6a59b34xks3nat3qvuutndcc,building_centroid
"149-149 MYRTLE AVENUE",STAMFORD,CT,41.051436,-73.527468,0.99,rooftop,"149 Myrtle Ave",,"Stamford, CT 06902",149,"Myrtle Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn7ykrfcpkdx45e9nfk5drcluxh5,building_centroid
"100-166 FOREST STREET",STAMFORD,CT,41.056769,-73.533518,1,rooftop,"100 Forest St",,"Stamford, CT 06901",100,"Forest St",,,Stamford,CT,"Western Connecticut Planning Region",06901,US,"City of Stamford",gcod_usnb274rsjhswc4dru2ghsrt8m296,building_centroid
"40-40 HOYT STREET",STAMFORD,CT,41.061256,-73.539178,1,rooftop,"40-40 Hoyt St",,"Stamford, CT 06905",40-40,"Hoyt St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"Connecticut Geospatial Information Systems Council",gcod_usnewunawf6335f2x55dhkpgfljqc,building_centroid
"71-91 STRAWBERRY HILL AVENUE ",STAMFORD,CT,41.063039,-73.532284,0.99,rooftop,"71 Strawberry Hill Ave",,"Stamford, CT 06902",71,"Strawberry Hill Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnte84mnkbs247et9f3pj5evhdfa,building_centroid
"85-85 FRANKLIN STREET",STAMFORD,CT,41.058314,-73.541315,1,rooftop,"85-85 Franklin St",,"Stamford, CT 06901",85-85,"Franklin St",,,Stamford,CT,"Western Connecticut Planning Region",06901,US,"Connecticut Geospatial Information Systems Council",gcod_usng3lhahfuwy6r5zpk8ddrncm6l2,building_centroid
"20-20 MAPLE TREE AVENUE",STAMFORD,CT,41.071475,-73.51546,0.99,rooftop,"20 Maple Tree Ave",,"Stamford, CT 06906",20,"Maple Tree Ave",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnlpm6xtnxdrsme6nx93q95ggnl2,building_centroid
"431-431 GLENBROOK ROAD",STAMFORD,CT,41.067954,-73.520461,0.99,rooftop,"431 Glenbrook Rd",,"Stamford, CT 06906",431,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnta7zqter5yv9ft67ampwrj76cc,building_centroid
"440-446 COURTLAND AVENUE",STAMFORD,CT,41.072555,-73.5182,1,rooftop,"440 Courtland Ave",,"Stamford, CT 06906",440,"Courtland Ave",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnzzfbegep32a49lul47wvbvprjh,building_centroid
"377-377 GLENBROOK ROAD",STAMFORD,CT,41.066446,-73.521332,1,rooftop,"377-377 Glenbrook Rd",,"Stamford, CT 06906",377-377,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"Connecticut Geospatial Information Systems Council",gcod_usnta7zqter5yv9f2antwwxrf98re,parcel_centroid
"291-291 HOPE STREET",STAMFORD,CT,41.06999,-73.52499,0.99,rooftop,"291 Hope St",,"Stamford, CT 06906",291,"Hope St",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnbl6a8pggekw47p6kg5ysbhm7u5,building_centroid
"93-93 GLENBROOK ROAD",STAMFORD,CT,41.058385,-73.52801,1,rooftop,"93-93 Glenbrook Rd",,"Stamford, CT 06902",93-93,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usnqrk9rbqbd8lvemstp289eb2wu3,building_centroid
"87-87 GLENBROOK ROAD",STAMFORD,CT,41.058143,-73.527965,1,rooftop,"87-87 Glenbrook Rd",,"Stamford, CT 06902",87-87,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usnqrk9rbqbd8lvesxkffaqeftgl4,parcel_centroid
"180-180 GLENBROOK ROAD",STAMFORD,CT,41.06069,-73.527456,0.99,rooftop,"180 Glenbrook Rd",,"Stamford, CT 06902",180,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lve2u8jde7mx7fq4,building_centroid
"32-34 GOODWIN STREET",STAMFORD,CT,41.069783,-73.522258,1,rooftop,"32-34 Goodwin St",,"Stamford, CT 06906",32-34,"Goodwin St",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"Connecticut Geospatial Information Systems Council",gcod_usnp8q7tl3p2pkk5yulp6qzq2x3sb,parcel_centroid
"42-42 HIGHLAND ROAD",STAMFORD,CT,41.057945,-73.53203,0.99,rooftop,"42 Highland Rd",,"Stamford, CT 06902",42,"Highland Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnsqupsmw5k5av7c7eqr48y6zy65,building_centroid
"35-35 MAPLE TREE AVENUE",STAMFORD,CT,41.07132,-73.514728,0.99,rooftop,"35 Maple Tree Ave",,"Stamford, CT 06906",35,"Maple Tree Ave",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnlpm6xtnxdrsmeaytx24g4h6xe7,building_centroid
"60-60 LAWN AVENUE",STAMFORD,CT,41.05837,-73.519248,1,rooftop,"60-60 Lawn Ave",,"Stamford, CT 06902",60-60,"Lawn Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usn4ymee33fq6thdrkvvje4pk8crh,building_centroid
"24-28 GREGORY STREET",STAMFORD,CT,41.053834,-73.523659,1,rooftop,"24-28 Gregory St",,"Stamford, CT 06902",24-28,"Gregory St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usnf7sk5bvkfq267nkr5t5jhqqwkc,parcel_centroid
"37-43 HARBOR DRIVE",STAMFORD,CT,41.039288,-73.538641,0.85,rooftop,"43 Harbor St",,"Stamford, CT 06902",43,"Harbor St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn2sp3924rgydt6m6wp9zw8jnuad,building_centroid
"22-66 LINDSTROM ROAD",STAMFORD,CT,41.038649,-73.528433,1,rooftop,"22 Lindstrom Rd",,"Stamford, CT 06902",22,"Lindstrom Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqgehhbkskxqv7rlam8sjbkmyd9,building_centroid
"44-44 STRAWBERRY HILL AVENUE",STAMFORD,CT,41.061481,-73.53409,0.99,rooftop,"44 Strawberry Hill Ave",,"Stamford, CT 06902",44,"Strawberry Hill Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnte84mnkbs247etjlu4zfa74llf,building_centroid
"0-119 BARNES ROAD",STAMFORD,CT,41.095775,-73.558679,0.85,rooftop,"119 Barnes Rd",,"Stamford, CT 06902",119,"Barnes Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usns2ewrdcbhbmxe8baw4q7v55dp5,building_centroid
"409-409 HOPE STREET",STAMFORD,CT,41.073695,-73.522946,1,rooftop,"409-409 Hope St",,"Stamford, CT 06906",409-409,"Hope St",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"Connecticut Geospatial Information Systems Council",gcod_usnbl6a8pggekw47j3tepvt3zgpea,building_centroid
"0 TACONIC ROAD",STAMFORD,CT,41.090459,-73.622249,0.84,street_center,"Taconic Rd",,"Greenwich, CT 06831",,"Taconic Rd",,,Greenwich,CT,"Western Connecticut Planning Region",06831,US,"TIGER/Line® dataset from the US Census Bureau",gcod_usslqs9r3h2aaar8,
"59  COURTLAND AVENUE",STAMFORD,CT,41.060701,-73.51361,1,rooftop,"59 Courtland Ave",,"Stamford, CT 06902",59,"Courtland Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn4tkn9nm53kxl9gw9sdwftfb36d,building_centroid
"59  COURTLAND AVENUE",STAMFORD,CT,41.060701,-73.51361,1,rooftop,"59 Courtland Ave",,"Stamford, CT 06902",59,"Courtland Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn4tkn9nm53kxl9gw9sdwftfb36d,building_centroid
"26 MANOR STREET",STAMFORD,CT,41.039864,-73.540085,1,rooftop,"26 Manor St",,"Stamford, CT 06902",26,"Manor St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnrxgx3wfg6ws4feyxuyggzsnxvb,building_centroid
"21 RUGBY STREET",STAMFORD,CT,41.038263,-73.539475,1,rooftop,"21 Rugby St",,"Stamford, CT 06902",21,"Rugby St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnvwpkzys7rkvb66p754w9d36uxb,building_centroid
"84 VIRGIL STREET ",STAMFORD,CT,41.051086,-73.555816,1,rooftop,"84 Virgil St",,"Stamford, CT 06902",84,"Virgil St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnukjbbw2xphab84gac6k9m9r4yb,building_centroid
"37 LIBERTY STREET",STAMFORD,CT,41.049434,-73.554084,1,rooftop,"37 Liberty St",,"Stamford, CT 06902",37,"Liberty St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnvsrtqmrdp5mkc6d8k7xb7wadke,building_centroid
"349 WEST AVENUE",STAMFORD,CT,41.041642,-73.559541,1,rooftop,"349 West Ave",,"Stamford, CT 06902",349,"West Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnkkg6732v69cpg923rcl3w49azc,building_centroid
"226 LUDLOW STREET",STAMFORD,CT,41.042843,-73.53364,1,rooftop,"226 Ludlow St",,"Stamford, CT 06902",226,"Ludlow St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnlrqrb8m7y3ly2zk5wc7mwqyma5,building_centroid
"48 NELSON STREET ",STAMFORD,CT,41.037833,-73.528892,1,rooftop,"48 Nelson St",,"Stamford, CT 06902",48,"Nelson St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn59e97tedlpr69shhwpu3crvytg,building_centroid
"100 STRAWBERRY HILL AVENUE ",STAMFORD,CT,41.063818,-73.53384,1,rooftop,"100 Strawberry Hill Ave",,"Stamford, CT 06902",100,"Strawberry Hill Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnte84mnkbs247eulsp7dxw2pat3,building_centroid
"38 RIVER OAKS DRIVE",STAMFORD,CT,41.094538,-73.5574,1,rooftop,"38 River Oaks Dr",,"Stamford, CT 06902",38,"River Oaks Dr",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqytmeqcadh977ypasxalr4qlrg,building_centroid
"71 DEAN STREET ",STAMFORD,CT,41.046397,-73.508689,1,rooftop,"71 Dean St",,"Stamford, CT 06902",71,"Dean St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn4ly2dnjne6av3m6tv2vzfb8az9,building_centroid
"117 WATERBURY AVENUE",STAMFORD,CT,41.056394,-73.506683,1,rooftop,"117 Waterbury Ave",,"Stamford, CT 06902",117,"Waterbury Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnmyn64zzx86a8fwmbkllzkagcfd,building_centroid
"64 PLYMOUTH ROAD ",STAMFORD,CT,41.069152,-73.529579,1,rooftop,"64 Plymouth Rd",,"Stamford, CT 06906",64,"Plymouth Rd",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnlwrhnnl4rghhbbggp6td95fqrf,building_centroid
"199 DOLPHIN COVE QUAY",STAMFORD,CT,41.02523,-73.548484,1,rooftop,"199 Dolphin Cove Quay",,"Stamford, CT 06902",199,"Dolphin Cove Quay",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnmgphxysnxnm7hpehwu7yh9v3lb,building_centroid
"2187 ATLANTIC STREET ",STAMFORD,CT,41.041887,-73.543397,1,rooftop,"2187 Atlantic St",,"Stamford, CT 06902",2187,"Atlantic St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn9rjug5jqvp9d8acfqk2k7wslsb,building_centroid
"20 PARAGON LANE",STAMFORD,CT,41.069498,-73.55238,1,rooftop,"20 Paragon Ln",,"Stamford, CT 06905",20,"Paragon Ln",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnzz4nejzam7z64s6xefqfjf5v6h,building_centroid
"62 LOCKWOOD AVENUE",STAMFORD,CT,41.05387,-73.521164,1,rooftop,"62 Lockwood Ave",,"Stamford, CT 06902",62,"Lockwood Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnjnsvcabu288cgn6xw3ps7rxxm6,building_centroid
"48 MIANUS ROAD",STAMFORD,CT,41.072522,-73.575815,1,rooftop,"48 Mianus Rd",,"Stamford, CT 06902",48,"Mianus Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usneqme2sk972x3d7m6n79amfneqa,building_centroid
"58 LIBERTY STREET",STAMFORD,CT,41.050043,-73.554323,1,rooftop,"58 Liberty St",,"Stamford, CT 06902",58,"Liberty St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnvsrtqmrdp5mkcea2tc4saxpa36,building_centroid
"26 GREGORY STREET",STAMFORD,CT,41.053789,-73.523669,1,rooftop,"26 Gregory St",,"Stamford, CT 06902",26,"Gregory St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnf7sk5bvkfq267558bpttqv6rzh,building_centroid
"4 LONG RIDGE ROAD ",STAMFORD,CT,41.071559,-73.549638,1,rooftop,"4 Long Ridge Rd",,"Stamford, CT 06905",4,"Long Ridge Rd",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnu7yzjhs5mh4xc8tz7a2h9kp6ed,building_centroid
"31 OENOKE PLACE",STAMFORD,CT,41.098456,-73.51676,1,rooftop,"31 Oenoke Pl",,"Stamford, CT 06907",31,"Oenoke Pl",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usn9ycqj8dve4asf3q24c27j28jj7,building_centroid
"60 STRAWBERRY HILL AVENUE",STAMFORD,CT,41.062374,-73.533541,1,rooftop,"60 Strawberry Hill Ave",,"Stamford, CT 06902",60,"Strawberry Hill Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnte84mnkbs247ek43kzayzug2a9,building_centroid
"60 STRAWBERRY HILL AVENUE",STAMFORD,CT,41.062374,-73.533541,1,rooftop,"60 Strawberry Hill Ave",,"Stamford, CT 06902",60,"Strawberry Hill Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnte84mnkbs247ek43kzayzug2a9,building_centroid
"80 WEST AVENUE ",STAMFORD,CT,41.050837,-73.557402,1,rooftop,"80 West Ave",,"Stamford, CT 06902",80,"West Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnkkg6732v69cpge5bep5ra9akuc,building_centroid
"256 WASHINGTON BOULEVARD ",STAMFORD,CT,41.043279,-73.542962,1,rooftop,"256 Washington Blvd",,"Stamford, CT 06902",256,"Washington Blvd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnvx9p5dgsssqtaw73nsfplallea,building_centroid
"0 SOUTHFIELD AVENUE",STAMFORD,CT,41.032673,-73.54783,1,street_center,"Southfield Ave",,"Stamford, CT 06902",,"Southfield Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"TIGER/Line® dataset from the US Census Bureau",gcod_uss9rvkb5jqlhl7g,
"0 SOUTHFIELD AVENUE",STAMFORD,CT,41.032673,-73.54783,1,street_center,"Southfield Ave",,"Stamford, CT 06902",,"Southfield Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"TIGER/Line® dataset from the US Census Bureau",gcod_uss9rvkb5jqlhl7g,
"0 SOUTHFIELD AVENUE",STAMFORD,CT,41.032673,-73.54783,1,street_center,"Southfield Ave",,"Stamford, CT 06902",,"Southfield Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"TIGER/Line® dataset from the US Census Bureau",gcod_uss9rvkb5jqlhl7g,
"0 SOUTHFIELD AVENUE",STAMFORD,CT,41.032673,-73.54783,1,street_center,"Southfield Ave",,"Stamford, CT 06902",,"Southfield Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"TIGER/Line® dataset from the US Census Bureau",gcod_uss9rvkb5jqlhl7g,
"45 SOUNDVIEW AVENUE",STAMFORD,CT,41.047701,-73.52107,1,rooftop,"45 Soundview Ave",,"Stamford, CT 06902",45,"Soundview Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnrwlbcvx25jmu7hlxjrwxlyl3sc,building_centroid
"0 HOPE STREET",STAMFORD,CT,41.077199,-73.522736,1,street_center,"Hope St",,"Stamford, CT 06906",,"Hope St",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"TIGER/Line® dataset from the US Census Bureau",gcod_ussbl6a8pggekw47,
"17 PINE HILL AVENUE ",STAMFORD,CT,41.071905,-73.524799,1,rooftop,"17 Pine Hill Ave",,"Stamford, CT 06906",17,"Pine Hill Ave",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnl269s6r53lvl5xvj4bazpqcech,building_centroid
"444 BEDFORD STREET",STAMFORD,CT,41.058154,-73.538335,1,rooftop,"444 Bedford St",,"Stamford, CT 06901",444,"Bedford St",,,Stamford,CT,"Western Connecticut Planning Region",06901,US,"City of Stamford",gcod_usn93nhags26h7xbynzxqtnlplwm2,building_centroid
"29 VIRGIL STREET ",STAMFORD,CT,41.049259,-73.555575,1,rooftop,"29 Virgil St",,"Stamford, CT 06902",29,"Virgil St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnukjbbw2xphab82pr5rl7n7mtch,building_centroid
"44 PLEASANT STREET",STAMFORD,CT,41.055933,-73.532203,1,rooftop,"44 Pleasant St",,"Stamford, CT 06901",44,"Pleasant St",,,Stamford,CT,"Western Connecticut Planning Region",06901,US,"City of Stamford",gcod_usnzzyq8uwa6cdh827ae56lc26663,building_centroid
"44 COLUMBUS PLACE",STAMFORD,CT,41.097744,-73.514426,1,rooftop,"44 Columbus Pl",,"Stamford, CT 06907",44,"Columbus Pl",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usn2g5ngj4eyywghhvpan7pvbw592,building_centroid
"910 HOPE STREET",STAMFORD,CT,41.089931,-73.518081,1,rooftop,"910 Hope St",,"Stamford, CT 06907",910,"Hope St",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usnfkq23mubsxdk3ewvf9j7b4jvmd,building_centroid
"10 HARBOR STREET",STAMFORD,CT,41.039043,-73.54029,1,rooftop,"10 Harbor St",,"Stamford, CT 06902",10,"Harbor St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn2sp3924rgydt68nllwdr5yvr74,building_centroid
"47 WALLACKS LANE ",STAMFORD,CT,41.044365,-73.507315,1,rooftop,"47 Wallacks Ln",,"Stamford, CT 06902",47,"Wallacks Ln",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnwx4bvsmycddthmjyh27mgwqda4,building_centroid
"201 HIGHVIEW AVENUE",STAMFORD,CT,41.101891,-73.513101,1,rooftop,"201 Highview Ave",,"Stamford, CT 06907",201,"Highview Ave",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usnftw54ttqqabzdagdx479k8vkk8,building_centroid
"144 COVE ROAD ",STAMFORD,CT,41.049348,-73.521828,1,rooftop,"144 Cove Rd",,"Stamford, CT 06902",144,"Cove Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnj2vkuspefctvefz7ed4vwcyt28,building_centroid
"998 COVE ROAD ",STAMFORD,CT,41.049121,-73.507243,1,rooftop,"998 Cove Rd",,"Stamford, CT 06902",998,"Cove Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnj2vkuspefctvelx7c84c8f2kh9,building_centroid
"850 EAST MAIN STREET #420",STAMFORD,CT,41.055644,-73.526581,1,rooftop,"850 E Main St","Apt 420","Stamford, CT 06902",850,"E Main St",Apt,420,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usntvhz3k7qw38eh8w8lcrce5un23-bed6kte2l92ug,building_centroid
"850 EAST MAIN STREET #305",STAMFORD,CT,41.055644,-73.526581,1,rooftop,"850 E Main St","Apt 305","Stamford, CT 06902",850,"E Main St",Apt,305,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usntvhz3k7qw38eh8w8lcrce5un23-k667svhbqvz2a,building_centroid
"850 EAST MAIN STREET #302",STAMFORD,CT,41.055644,-73.526581,1,rooftop,"850 E Main St","Apt 302","Stamford, CT 06902",850,"E Main St",Apt,302,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usntvhz3k7qw38eh8w8lcrce5un23-q8zr3mvbpgj3a,building_centroid
"850 EAST MAIN STREET #301",STAMFORD,CT,41.055644,-73.526581,1,rooftop,"850 E Main St","Apt 301","Stamford, CT 06902",850,"E Main St",Apt,301,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usntvhz3k7qw38eh8w8lcrce5un23-cnszaaabnqang,building_centroid
"29 HAVEMEYER LANE",STAMFORD,CT,41.051053,-73.566241,0.99,rooftop,"29 Havemeyer Ln",,"Old Greenwich, CT 06870",29,"Havemeyer Ln",,,"Old Greenwich",CT,"Western Connecticut Planning Region",06870,US,"City of Stamford",gcod_usnyaxfbs3r4y7p59pjr4lkbxt9a5,building_centroid
"29 HAVEMEYER LANE",STAMFORD,CT,41.051053,-73.566241,0.99,rooftop,"29 Havemeyer Ln",,"Old Greenwich, CT 06870",29,"Havemeyer Ln",,,"Old Greenwich",CT,"Western Connecticut Planning Region",06870,US,"City of Stamford",gcod_usnyaxfbs3r4y7p59pjr4lkbxt9a5,building_centroid
